Date,1: Python & Coding (Logic),2: Core Subject (DE/SQL),3: Implementation & Hard Problems,Status
20/05/2026,"Setup, Lists, Slicing, Methods",BQ Star vs Snowflake Modeling,BQ Star vs Snowflake Modeling,Not Completed
21/05/2026,"Dicts, .get(), .pop()",SQL: RANK vs DENSE_RANK,Logic: Word frequency mapping,Not Completed
22/05/2026,"Sets, Uniqueness, Intersections",SQL: LEAD & LAG usage,Logic: Set vs List speed testing,Not Completed
23/05/2026,List & Dict Comprehensions,BQ: Slots vs. On-demand math,Logic: Nested comprehensions,Not Completed
24/05/2026,Functions: *args and **kwargs,SQL: Self-Joins (Hierarchy),Logic: Build a Calculator class,Not Completed
25/05/2026,Type Hinting (Google Standard),BQ Partitioning vs Clustering,Logic: Type-safe function calls,Not Completed
26/05/2026,Error Handling: try-except-finally,SQL: Running Totals (SUM OVER),Logic: Custom Exception classes,Not Completed
27/05/2026,File I/O: Generator-based reading,SQL: Recursive CTEs,Logic: csv module parsing,Not Completed
28/05/2026,"OOP: init, self, and Methods",Architecture: OLTP vs OLAP,Logic: Create a User class,Not Completed
29/05/2026,Inheritance: Super() and Mixins,DE: Idempotency logic,Logic: Admin inherits User,Not Completed
30/05/2026,Decorators: @timer & @retry,SQL: Gaps & Islands Part 1,Logic: Timing function execution,Not Completed
31/05/2026,Generators: yield keyword,SQL: Gaps & Islands Part 2,Logic: Memory-efficient looping,Not Completed
01/06/2026,Context Managers: with,SQL: Median without MEDIAN(),Logic: Custom DB connection class,Not Completed
02/06/2026,LC Easy: Two Sum,SQL: Complex JSON parsing,Speed: Solve in < 15 mins,Not Completed
03/06/2026,LC Easy: Valid Anagram,BQ Authorized Views logic,Speed: Solve in < 15 mins,Not Completed
04/06/2026,LC Med: Group Anagrams,SQL: Ranking without Window Func,Speed: Solve in < 30 mins,Not Completed
05/06/2026,LC Med: Merge Intervals,Data Lake Partitioning Design,Speed: Solve in < 30 mins,Not Completed
06/06/2026,Logging: getLogger & Formatters,SQL: Date/Time (Timezones),Logic: Rotating log file scripts,Not Completed
07/06/2026,Pydantic: Schema Validation,BQ Materialized Views vs Tables,Logic: Validate API JSON input,Not Completed
08/06/2026,Unit Testing: pytest & Mocks,SQL: Cumulative Percentile,Logic: Mocking a DB response,Not Completed
09/06/2026,Requests: API Pagination logic,API Rate Limiting logic,Logic: Fetch multi-page data,Not Completed
